"Date","Steps","Distance (km)","Elevation (m)","Calories"
"2015-01-20","1972","1.51","0","176"
"2015-01-19","835","0.62","0","106"
"2015-01-18","478","0.36","0","56"
"2015-01-17","9478","7.84","0","792"
"2015-01-16","3570","2.97","0","292"
"2015-01-15","6062","4.86","0","569"
"2015-01-14","5083","4.19","0","481"
"2015-01-13","3798","3.07","0","400"
"2015-01-12","5232","4.06","0","638"
"2015-01-11","8039","6.62","0","650"
"2015-01-10","8675","6.92","0","783"
"2015-01-09","4631","3.75","0","543"
"2015-01-08","5263","4.31","0","505"
"2015-01-07","4962","3.97","0","448"
"2015-01-06","5543","4.48","0","475"
"2015-01-05","6287","5.56","0","658"
"2015-01-04","8526","8.25","0","897"
"2015-01-03","2363","1.88","0","230"
"2015-01-02","12741","11.31","0","1234"
"2015-01-01","5136","4.71","0","477"
